term,coefficient
Intercept,20248.55815933876
tempmax,580.9730027980361
precip,-220.46776176341996
windspeed,-194.9502173698016
visibility,128.06835106754977
solarenergy,381.00421239963646
day_Mon,0.0
day_Tue,2315.5860577618664
day_Wed,2520.185385238845
day_Thu,2413.298720010005
day_Fri,758.2203701795531
day_Sat,-1336.0003732747773
day_Sun,-3695.516911564225
season_Spring,0.0
season_Summer,-2543.7088757387364
season_Winter,-3279.5814137489197
after_price_inc,-4282.1232551201265
